Region,DiffMeanPercent
East Midlands,19.28790105820107
East of England,21.23492552147239
London,23.846772851805714
North East England,21.297667272727285
North West England,18.57191362612614
Northern Ireland,13.480609523809525
Scotland,19.462709670329684
South East England,21.23481744827586
South West England,20.801536115843287
Wales,14.626238190954771
West Midlands,18.872967647058847
Yorkshire and the Humber,20.6374085106383
